prefix,mid,end
Artless,Base-Court,Apple-John
Bawdy,Bat-Fowling,Baggage
Beslubbering,Beef-Witted,Barnacle
Bootless,Beetle-Headed,Bladder
Churlish,Boil-Brained,Boad-Pig
Cockered,Clapper-Clawed,Bugbear
Clouted,Clay-Brained,Bum-Bailey
Craven,Common-Kissing,Canker-Blossom
Currish,Crook-Pated,Clack-Dish
Dankish,Dismal-Dreaming,Clotpole
Dissembling,Dizzy-Eyed,Coxcomb
Droning,Doghearted,Codpiece
Errant,Dread-Bolted,Death-Token
Fawning,Earth-Vexing,Dewberry
Fobbing,Elf-Skinned,Flap-Dragon
Froward,Fat-Kidneyed,Flax-Wench
Frothy,Fen-Sucked,Flirt-Gill
Gleeking,Flap-Mouthed,Fool-Licker
Goatish,Fly-Bitten,Fustilarian
Gorbellied,Folly-Fallen,Giglet
Impertinent,Fool-Born,Gudgeon
Infectious,Full-Gorged,Haggard
Jarring,Guts-Griping,Harpy
Loggerheaded,Half-Faced,Hedge-Pig
Lumpish,Hasty-Witted,Horn-Beast
Mammering,Hedge-Born,Hugger-Mugger
Mangled,Hell-Hated,Joithead
Mewling,Idle-Headed,Lewdster
Paunchy,Ill-Breeding,Lout
Pribbling,Ill-Nurtured,Maggot-Pie
Puking,Knotty-Pated,Malt-Worm
Puny,Milk-Livered,Mammet
Qualling,Motley-Minded,Measle
Rank,Onion-Eyed,Minnow
